Date,Clicks,total clicks,Actions,Total Actions,Sale Amount,Total Sales,Action Earnings,Total Earnings,Earnings,EPA,EPC,Conversion Rate,AOV
"Sep 9, 2024",9,9,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00%,0.00
"Sep 8, 2024",6,15,1,1,3.00,3.00,0.11,0.11,0.11,0.11,0.02,16.67%,3.00
"Sep 7, 2024",11,26,0,1,0.00,3.00,0.00,0.11,0.00,0.00,0.00,0.00%,0.00
"Sep 6, 2024",6,32,0,1,0.00,3.00,0.00,0.11,0.00,0.00,0.00,0.00%,0.00
"Sep 5, 2024",2,34,2,3,16.00,19.00,0.56,0.67,0.56,0.28,0.28,100.00%,8.00
"Sep 4, 2024",5,39,0,3,0.00,19.00,0.00,0.67,0.00,0.00,0.00,0.00%,0.00
"Sep 30, 2024",7,46,4,7,81.80,100.80,2.87,3.54,2.87,0.72,0.41,57.14%,20.45
"Sep 3, 2024",17,63,3,10,37.99,138.79,1.33,4.87,1.33,0.44,0.08,17.65%,12.66
"Sep 29, 2024",8,71,0,10,0.00,138.79,0.00,4.87,0.00,0.00,0.00,0.00%,0.00
"Sep 28, 2024",11,82,3,13,85.17,223.96,2.99,7.86,2.99,1.00,0.27,27.27%,28.39
"Sep 27, 2024",6,88,2,15,13.74,237.70,0.48,8.34,0.48,0.24,0.08,33.33%,6.87
"Sep 26, 2024",7,95,2,17,186.21,423.91,6.52,14.86,6.52,3.26,0.93,28.57%,93.11
"Sep 25, 2024",5,100,2,19,26.44,450.35,0.93,15.79,0.93,0.47,0.19,40.00%,13.22
"Sep 24, 2024",7,107,5,24,53.42,503.77,1.88,17.67,1.88,0.38,0.27,71.43%,10.68
"Sep 23, 2024",13,120,2,26,9.51,513.28,0.33,18.00,0.33,0.17,0.03,15.38%,4.76
"Sep 22, 2024",14,134,1,27,15.98,529.26,0.56,18.56,0.56,0.56,0.04,7.14%,15.98
"Sep 21, 2024",13,147,2,29,77.87,607.13,2.73,21.29,2.73,1.37,0.21,15.38%,38.94
"Sep 20, 2024",9,156,2,31,66.58,673.71,2.33,23.62,2.33,1.17,0.26,22.22%,33.29
"Sep 2, 2024",5,161,0,31,0.00,673.71,0.00,23.62,0.00,0.00,0.00,0.00%,0.00
"Sep 19, 2024",7,168,1,32,2.33,676.04,0.08,23.70,0.08,0.08,0.01,14.29%,2.33
"Sep 18, 2024",15,183,2,34,22.01,698.05,0.77,24.47,0.77,0.39,0.05,13.33%,11.01
"Sep 17, 2024",8,191,2,36,89.49,787.54,3.13,27.60,3.13,1.57,0.39,25.00%,44.75
"Sep 16, 2024",3,194,3,39,120.50,908.04,4.22,31.82,4.22,1.41,1.41,100.00%,40.17
"Sep 15, 2024",15,209,2,41,12.90,920.94,0.46,32.28,0.46,0.23,0.03,13.33%,6.45
